# Logfile created on 2026-09-10 14:30:09 +0200 by logger.rb/v1.5.3
2026-09-10 14:30:09 +0200: Memory Usage (454408K) : graphmetal1_opc has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (454408K) : graphmet1l_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (454536K) : graphmet1l_filler has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (454536K) : graphmet1l_nofill has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (454536K) : graphmet1l_slit has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (454664K) : graphmet1l_opc has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (454664K) : extblock_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (454792K) : nldd_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (454792K) : pldd_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (454920K) : next_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (454920K) : pext_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (454920K) : nexthv_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (455048K) : pexthv_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (455048K) : graphgate_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (455176K) : sinwg_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (455176K) : sinwg_filler has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (455304K) : sinwg_nofill has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (455304K) : mempad_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (455304K) : topvia1_drw has 2315 polygons
2026-09-10 14:30:09 +0200: Memory Usage (455560K) : topmetal1_drw has 8 polygons
2026-09-10 14:30:09 +0200: Memory Usage (455560K) : topmetal1_pin has 8 polygons
2026-09-10 14:30:09 +0200: Memory Usage (455560K) : topmetal1_mask has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (455688K) : topmetal1_filler has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (455688K) : topmetal1_nofill has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (455688K) : topmetal1_slit has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (455816K) : topmetal1_text has 8 polygons
2026-09-10 14:30:09 +0200: Memory Usage (455816K) : topmetal1_noqrc has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (455944K) : topmetal1_res has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (455944K) : topmetal1_iprobe has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (456072K) : topmetal1_diffprb has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (456072K) : inldpwl_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (456072K) : polyres_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (456200K) : polyres_pin has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (456200K) : vmim_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (456328K) : nbulaycut_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (456328K) : antmetal1_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (456328K) : topvia2_drw has 1593 polygons
2026-09-10 14:30:09 +0200: Memory Usage (456328K) : topmetal2_drw has 6 polygons
2026-09-10 14:30:09 +0200: Memory Usage (456328K) : topmetal2_pin has 6 polygons
2026-09-10 14:30:09 +0200: Memory Usage (456328K) : topmetal2_mask has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (456456K) : topmetal2_filler has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (456456K) : topmetal2_nofill has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (456456K) : topmetal2_slit has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (456456K) : topmetal2_text has 6 polygons
2026-09-10 14:30:09 +0200: Memory Usage (456584K) : topmetal2_noqrc has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (456584K) : topmetal2_res has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (456712K) : topmetal2_iprobe has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (456712K) : topmetal2_diffprb has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (456840K) : snsring_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (456840K) : sensor_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (456840K) : snsarms_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (456968K) : snscmosvia_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (456968K) : colwind_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (457096K) : flm_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (457096K) : hafniumox_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (457224K) : memvia_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (457224K) : thinfilmres_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (457224K) : rfmem_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (457352K) : norcx_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (457352K) : norcx_m2m3 has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (457480K) : norcx_m2m4 has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (457480K) : norcx_m2m5 has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (457608K) : norcx_m2tm1 has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (457608K) : norcx_m2tm2 has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (457608K) : norcx_m3m4 has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (457736K) : norcx_m3m5 has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (457736K) : norcx_m3tm1 has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (457864K) : norcx_m3tm2 has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (457864K) : norcx_m4m5 has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (457864K) : norcx_m4tm1 has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (457992K) : norcx_m4tm2 has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (457992K) : norcx_m5tm1 has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (458120K) : norcx_m5tm2 has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (458120K) : norcx_tm1tm2 has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (458248K) : norcx_m1sub has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (458248K) : norcx_m2sub has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (458248K) : norcx_m3sub has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (458376K) : norcx_m4sub has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (458376K) : norcx_m5sub has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (458504K) : norcx_tm1sub has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (458504K) : norcx_tm2sub has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (458632K) : snsbotvia_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (458632K) : snstopvia_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (458632K) : deepvia_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (458760K) : fgetch_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (458760K) : ctrgat_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (458888K) : fgimp_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (458888K) : emwihv_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (458888K) : lbe_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (459016K) : alcustop_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (459016K) : nometfiller_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (459144K) : prboundary_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (459144K) : exchange0_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (459272K) : exchange0_pin has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (459272K) : exchange0_text has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (459272K) : exchange1_drw has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (459400K) : exchange1_pin has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (459400K) : exchange1_text has 0 polygons
2026-09-10 14:30:09 +0200: Memory Usage (459528K) : exchange2_drw has 0 polygons
